Date,Open,High,Low,Close,Adj Close,Volume,Monthly,60ma,extent_of_fall
2003-07-16,84.5,88.25,84.5,86.75,54.55890655517578,136912,79.0,,
2003-07-17,86.25,88.25,86.25,87.75,55.18782806396485,267168,79.0,,
2003-07-18,87.0,87.0,83.5,84.5,53.14383316040039,354688,79.0,,
2003-07-21,84.5,84.5,80.0,80.5,50.62814712524414,206928,79.0,,
2003-07-22,80.5,81.75,79.0,80.25,50.47091674804688,191936,79.0,,
2003-07-23,80.5,83.25,80.5,81.5,51.25706481933594,114416,79.0,,
2003-07-24,83.25,83.25,81.5,82.5,51.885986328125,222400,79.0,,
2003-07-25,82.75,83.0,81.5,82.5,51.885986328125,126272,79.0,,
2003-07-28,83.25,87.5,83.25,86.5,54.40165710449219,243744,79.0,,
2003-07-29,83.0,90.0,76.5,88.25,55.50227355957031,381248,79.0,,
2003-07-30,89.5,90.25,87.0,90.0,56.60289764404297,243152,79.0,,
2003-07-31,87.75,89.75,84.5,85.75,53.929988861083984,181088,85.75,,
2003-08-01,88.75,88.75,86.25,87.5,55.03059005737305,142800,85.75,,
2003-08-04,87.5,89.25,70.25,87.5,55.03059005737305,669120,85.75,,
2003-08-05,88.25,92.0,88.25,90.0,56.60289764404297,1418064,85.75,,
2003-08-06,87.5,88.75,87.5,88.5,55.65950775146485,136496,85.75,,
2003-08-07,93.5,93.5,88.5,89.25,56.13121032714844,359728,85.75,,
2003-08-08,90.0,90.5,88.0,88.75,55.81674575805664,232752,85.75,,
2003-08-11,75.25,90.0,75.25,87.5,55.03059005737305,238352,85.75,,
2003-08-12,87.5,91.25,87.5,90.25,56.76012420654297,405888,85.75,,
2003-08-13,88.75,90.5,88.75,90.0,56.60289764404297,245136,85.75,,
2003-08-14,89.0,91.75,89.0,90.25,56.76012420654297,199792,85.75,,
2003-08-15,90.25,90.25,90.25,90.25,56.76012420654297,0,85.75,,
2003-08-18,88.75,91.25,88.5,90.75,57.074588775634766,136080,85.75,,
2003-08-19,91.25,91.5,90.0,90.75,57.074588775634766,194784,85.75,,
2003-08-20,86.5,91.25,86.25,90.0,56.60289764404297,174224,85.75,,
2003-08-21,92.25,92.25,90.0,90.75,57.074588775634766,307296,85.75,,
2003-08-22,92.25,95.0,91.25,94.5,59.43304443359375,535776,85.75,,
2003-08-25,95.25,99.75,90.0,91.75,57.703521728515625,459536,85.75,,
2003-08-26,90.25,92.75,90.25,91.25,57.3890380859375,343440,85.75,,
2003-08-27,87.5,92.25,85.5,90.0,56.60289764404297,1085424,85.75,,
2003-08-28,92.25,92.25,89.25,90.5,56.91735076904297,1256656,85.75,,
2003-08-29,100.5,100.5,90.0,92.5,58.17520523071289,1894560,85.75,,
2003-09-01,96.25,96.25,90.25,93.0,58.48965072631836,325392,92.5,,
2003-09-02,91.25,94.25,90.75,93.75,58.96135330200195,491152,92.5,,
2003-09-03,100.0,100.0,94.5,97.5,61.31980514526367,1715168,92.5,,
2003-09-04,99.5,101.25,97.75,99.25,62.4204216003418,913264,92.5,,
2003-09-05,102.25,110.0,99.5,106.5,66.98009490966797,701472,92.5,,
2003-09-08,107.75,112.0,107.5,109.75,69.02408599853516,866448,92.5,,
2003-09-09,112.5,114.0,103.75,111.0,69.81022644042969,1015152,92.5,,
2003-09-10,109.5,111.25,106.25,107.5,67.60902404785156,499296,92.5,,
2003-09-11,114.75,114.75,105.5,109.0,68.55239868164062,715072,92.5,,
2003-09-12,112.5,112.5,109.0,110.5,69.49578094482422,517312,92.5,,
2003-09-15,115.0,115.0,105.0,106.75,67.13732147216797,344992,92.5,,
2003-09-16,105.0,111.5,104.5,111.0,69.81022644042969,326016,92.5,,
2003-09-17,113.25,113.75,110.0,111.25,69.96747589111328,319488,92.5,,
2003-09-18,112.5,113.5,103.0,105.5,66.35118103027344,232992,92.5,,
2003-09-19,108.75,111.5,106.25,108.75,68.39515686035156,213968,92.5,,
2003-09-22,108.0,111.25,106.25,106.5,66.98009490966797,316512,92.5,,
2003-09-23,103.75,110.0,103.75,109.0,68.55239868164062,271920,92.5,,
2003-09-24,108.75,110.25,108.75,110.0,69.18132781982422,688400,92.5,,
2003-09-25,110.0,110.0,107.25,110.0,69.18132781982422,589184,92.5,,
2003-09-26,108.0,116.75,108.0,115.0,72.325927734375,1140880,92.5,,
2003-09-29,118.25,124.25,116.25,121.25,76.25668334960938,1165072,92.5,,
2003-09-30,122.5,122.5,117.75,118.75,74.68438720703125,674560,118.75,,
2003-10-01,121.75,122.5,118.75,121.0,76.09944915771484,202544,118.75,,
2003-10-02,121.0,121.0,121.0,121.0,76.09944915771484,0,118.75,,
2003-10-03,123.25,128.25,117.5,126.25,79.40128326416016,1149936,118.75,,
2003-10-06,128.5,128.75,125.0,126.75,79.71575164794922,533456,118.75,,
2003-10-07,130.0,130.0,125.25,125.75,79.08683013916016,916128,118.75,,
2003-10-08,126.25,128.5,120.75,122.75,77.20006561279297,578800,118.75,,
2003-10-09,128.75,135.75,122.25,123.75,77.8289794921875,3758688,118.75,,
2003-10-10,127.5,136.5,125.5,127.25,80.03020477294922,1569824,118.75,,
2003-10-13,128.75,132.5,128.75,131.25,82.54589080810547,1204704,118.75,,
2003-10-14,130.0,137.5,125.25,134.5,84.58989715576172,1329904,118.75,,
2003-10-15,137.5,137.5,128.75,133.75,84.11820220947266,691104,118.75,,
2003-10-16,135.25,135.75,127.5,130.75,82.23143005371094,1296720,118.75,,
2003-10-17,129.75,130.5,126.75,130.0,81.75973510742188,935040,118.75,,
2003-10-20,130.25,133.75,128.5,131.5,82.703125,737456,118.75,,
2003-10-21,130.0,130.75,126.25,129.75,81.60252380371094,767152,118.75,,
2003-10-22,132.5,132.75,127.0,129.0,81.13082885742188,435648,118.75,,
